baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000074743.4	2630.23699224245	-1.56037262519162	0.0918792992748194	-16.9828529114529	1.10006169398757e-64	1.00729178535557e-62
ENSMUSG00000041235.12	258.551583089272	2.95429533293974	0.174027974413384	16.9759795394856	1.23673414678612e-64	1.12641482954355e-62
ENSMUSG00000001021.13	202.480954875431	5.76326344880693	0.341374834997527	16.882508193226	6.05180637515665e-64	5.48280849533372e-62
ENSMUSG00000029168.14	536.692051705921	8.47979983996072	0.502658036699011	16.869917957839	7.49003284087814e-64	6.75009643865033e-62
ENSMUSG00000034730.17	368.858550972137	7.40655998737861	0.439290289290092	16.8602861660062	8.81611675031215e-64	7.90357943013586e-62
ENSMUSG00000035834.11	553.11531553837	2.84546961630652	0.168812277024923	16.855821546003	9.50776947668665e-64	8.479246705693e-62
ENSMUSG00000032561.15	197.247441036327	4.83393205812878	0.287278032176992	16.8266679547241	1.55616749328304e-63	1.38063502525832e-61
ENSMUSG00000021696.9	310.612894907536	3.5578158106516	0.211488180114177	16.8227643205915	1.66218666966515e-63	1.46709393529259e-61
ENSMUSG00000003469.9	246.103210594493	6.51521025088382	0.388729294371148	16.760275968971	4.76407744507735e-63	4.18334862010562e-61
ENSMUSG00000028518.8	723.510731362899	2.60019927247716	0.155360698336549	16.7365318276602	7.10066285902075e-63	6.20329847627614e-61
ENSMUSG00000078695.8	448.040076051525	2.47736178860221	0.148141661835144	16.7229242463817	8.92313141457912e-63	7.75587711735219e-61
ENSMUSG00000029246.14	915.4857003841	2.0578372172201	0.123083090051161	16.7190896520775	9.51617454494465e-63	8.2295685218731e-61
ENSMUSG00000003032.8	4566.55797797934	1.95019195909462	0.116850986534095	16.6895634939769	1.56107948074534e-62	1.34323436928656e-60
ENSMUSG00000049493.13	201.287799482171	4.75436351977245	0.285302118897227	16.6643119867087	2.38213901810444e-62	2.03946832035012e-60
ENSMUSG00000049969.3	534.377378527841	2.16439417809434	0.129935382860609	16.6574656605757	2.67105285659824e-62	2.2754446797777e-60
ENSMUSG00000030739.18	286.74525032083	7.03946233888466	0.423575998624861	16.6191246948323	5.06669663934246e-62	4.2949032948248e-60
ENSMUSG00000021822.3	1629.50161291266	-1.4933574818159	0.08988901022742	-16.6133488180333	5.5789886923358e-62	4.70586322063379e-60
ENSMUSG00000025558.19	2161.80265053175	1.87049803808235	0.112618864433071	16.609100504596	5.9884411701157e-62	5.02647441940643e-60
ENSMUSG00000001420.13	213.518157158749	6.13357305758449	0.37070634233286	16.5456383049339	1.72130591177231e-61	1.43775225011109e-59
ENSMUSG00000028841.14	187.037145770617	3.52180853353239	0.21289568261163	16.5424140608665	1.81596811465581e-61	1.50945737996366e-59
